scenario,panel,model,thr_mode,threshold,best_combo,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
S4,KANSER,dnn,f1_raw,0.39,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7090909090909091,0.8880597014925373,0.8814814814814815,0.8947368421052632,0.6340576337561316,0.5969774970563646,0.036666105970996024,0.5238095238095238,0.6521739130434783,193
S4,KANSER,dnn,f1_8020,0.53,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.801762114537445,0.9578947368421052,0.6893939393939394,0.5773149544246862,0.7982456140350878,0.9578947368421052,0.6842105263157895,0.5717345177542774,0.6897455376021006,0.09163245696461242,0.48,0.8125,193
S4,KANSER,dnn,mcc_8020,0.53,"{'hidden': 128, 'n_layers': 3, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.801762114537445,0.9578947368421052,0.6893939393939394,0.5773149544246862,0.7982456140350878,0.9578947368421052,0.6842105263157895,0.5717345177542774,0.6897455376021006,0.09163245696461242,0.48,0.8125,193
S1,PAH,lightgbm,f1_raw,0.45,,0.9856770833333334,1.0,0.9717586649550706,0.9696528620474868,0.9171974522292994,0.8944099378881988,0.9411764705882353,0.44453855815085475,0.452847018572825,0.04163792606466301,0.3333333333333333,0.48484848484848486,184
S1,PAH,lightgbm,f1_8020,0.45,,0.9856770833333334,1.0,0.9717586649550706,0.9696528620474868,0.9171974522292994,0.8944099378881988,0.9411764705882353,0.44453855815085475,0.452847018572825,0.04163792606466301,0.3333333333333333,0.48484848484848486,184
S1,PAH,lightgbm,mcc_8020,0.45,,0.9856770833333334,1.0,0.9717586649550706,0.9696528620474868,0.9171974522292994,0.8944099378881988,0.9411764705882353,0.44453855815085475,0.452847018572825,0.04163792606466301,0.3333333333333333,0.48484848484848486,184
S1,PAH,catboost,f1_raw,0.39,,0.9477000630119723,0.9306930693069307,0.9653401797175867,0.8837943059137089,0.9382716049382716,0.8888888888888888,0.9934640522875817,0.5558798255703576,0.452550038197097,0.016653104737505767,0.4117647058823529,0.45714285714285713,184
S1,PAH,catboost,f1_8020,0.6,,0.9408706952566601,0.9526315789473684,0.9293966623876765,0.8728327305272383,0.9084967320261438,0.9084967320261438,0.9084967320261438,0.45688382880033734,0.4894833901730453,0.05055864784198479,0.3348901098901099,0.5333333333333333,184
S1,PAH,catboost,mcc_8020,0.72,,0.9151391717583164,0.9711815561959655,0.865211810012837,0.8320984490001119,0.8797250859106529,0.927536231884058,0.8366013071895425,0.4443126517646069,0.5331717152412804,0.07328859857710678,0.31925465838509315,0.6153846153846154,184
S1,PAH,nn,f1_raw,0.37,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8675691583284285,0.8010869565217391,0.9460847240051348,0.6928319923751558,0.89375,0.8562874251497006,0.934640522875817,0.20738407226531885,0.3723546704599336,0.03659689176954019,0.28051209103840685,0.4,184
S1,PAH,nn,f1_8020,0.48,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8413234301147873,0.8874643874643875,0.7997432605905006,0.6769743665930377,0.8542372881355932,0.8873239436619719,0.8235294117647058,0.2741335210151778,0.4179926902907994,0.05714726897967071,0.2857142857142857,0.5,184
S1,PAH,nn,mcc_8020,0.48,"{'hidden': 64, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8413234301147873,0.8874643874643875,0.7997432605905006,0.6769743665930377,0.8542372881355932,0.8873239436619719,0.8235294117647058,0.2741335210151778,0.4179926902907994,0.05714726897967071,0.2857142857142857,0.5,184
S1,PAH,dnn,f1_raw,0.37,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8306208559373116,0.7829545454545455,0.8844672657252889,0.6068949991480799,0.8785046728971962,0.8392857142857143,0.9215686274509803,0.0672155949667989,0.3421324374245531,0.03381816981559412,0.2926829268292683,0.37209302325581395,184
S1,PAH,dnn,f1_8020,0.48,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.7957894736842105,0.8777089783281734,0.7278562259306803,0.6082213961376052,0.8464163822525598,0.8857142857142857,0.8104575163398693,0.2582667514393952,0.4167382806292706,0.06023680827068028,0.2857142857142857,0.5,184
S1,PAH,dnn,mcc_8020,0.48,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.7957894736842105,0.8777089783281734,0.7278562259306803,0.6082213961376052,0.8464163822525598,0.8857142857142857,0.8104575163398693,0.2582667514393952,0.4167382806292706,0.06023680827068028,0.2857142857142857,0.5,184
