col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,lgroup
metasvm__score,62304,-0.2033983211350796,0.8573852688501234,-2.0058,2.2685,-0.5869,0.018262609709594566,17979,False,,False,True,0.434286574005382,SCORE
metasvm__rankscore,62304,0.6088175468669749,0.32695792346231406,0.0,0.99999,0.6534399999999999,0.018262609709594566,17717,False,,True,False,-0.3217806289901858,SCORE01
mistic__score,60871,0.46154461519669826,0.32854456521154984,0.006692953777079,0.9985766593122132,0.3588547197741077,0.0408426957439768,60811,False,,True,False,0.32236444722375746,OTHER
mutation_assessor__score,56494,1.9332299890253832,1.5372141606337035,-4.235,5.75,2.0,0.10981201645053024,884,False,,False,True,-0.24347947673375955,OTHER
mutation_assessor__rankscore,56494,0.5304064528976528,0.33463547214591965,0.0,0.99998,0.54354,0.10981201645053024,834,False,,True,False,-0.09105375758961391,SCORE01
mutationtaster__score,62362,0.9421569226997563,0.1784868496072253,0.0,1.0,0.999999,0.01734869136347163,17318,False,,True,False,-4.059732514433999,SCORE
mutationtaster__rankscore,62362,0.49564050623777306,0.2875573633244654,0.08975,0.81001,0.50595,0.01734869136347163,8698,False,,True,False,-0.16309025637892424,SCORE01
mutpred1__mutpred_general_score,25089,0.7172621068994379,0.25014903978865055,0.025,1.0,0.807,0.6046672864503727,956,False,,True,False,-0.8881288705428441,OTHER
mutpred1__mutpred_rankscore,25089,0.7810746526366136,0.2838591534292223,2e-05,0.99997,0.92439,0.6046672864503727,956,False,,True,False,-1.3597254044062344,SCORE01
mutpred2__score,61563,0.44820734581328336,0.33929606009818875,0.0057823715611925,0.9935378223457286,0.3775350764675326,0.029938704441958307,56233,False,,True,False,0.22370795722990153,OTHER
mutpred2__rankscore,61563,0.5115517187271575,0.3331456550464432,1e-05,0.99994,0.50491,0.029938704441958307,38490,False,,True,False,-0.013412870763240244,SCORE01
ncer__score,63168,98.326877482317,2.9655947083199465,10.160311,99.986602,99.4923355,0.004648377794935632,53353,False,,False,False,-7.189235605367572,OTHER
omim__omim_id,20046,388106.8414147461,200619.62357930533,100300.0,618892.0,300067.0,0.5966153506767723,2771,False,,False,False,0.11328578810685934,OTHER
original_input__pos,63463,75123199.09968013,58199732.80306777,12706.0,248488626.0,56913382.0,0.0,60923,False,,False,False,0.8624979812590791,OTHER
phastcons__phastcons100_vert,62788,0.7325042205516976,0.41894315751733907,0.0,1.0,1.0,0.010636118683327292,1000,False,,True,False,-1.0520567564920225,CONS_RAW
phastcons__phastcons100_vert_r,62788,0.4996989238389502,0.26048342649374134,0.06391,0.71638,0.71638,0.010636118683327292,1000,False,,True,False,-0.5444422887936511,CONS_RAW
phastcons__phastcons470_mamm,62788,0.750126680257374,0.4180207307451199,0.0,1.0,1.0,0.010636118683327292,988,False,,True,False,-1.1568894416640578,CONS_RAW
phastcons__phastcons470_mamm_r,62788,0.49905742211887627,0.247382883444984,0.08366,0.68203,0.68203,0.010636118683327292,988,False,,True,False,-0.723837828891506,CONS_RAW
phastcons__phastcons17way_primate,62788,0.6812379754093137,0.3896786705652788,0.0,1.0,0.928,0.010636118683327292,1001,False,,True,False,-0.805182545783334,CONS_RAW
phastcons__phastcons17way_primate_r,62788,0.47465246782824744,0.2772600547838426,0.00833,0.97212,0.46473,0.010636118683327292,1001,False,,True,False,0.0923881544022637,CONS_RAW
phdsnpg__score,62741,0.6484426451602621,0.3690545230401443,0.0,1.0,0.841,0.011376707687944156,1001,False,,True,False,-0.6088216162838026,OTHER
phdsnpg__fdr,62741,0.05684377042125564,0.034588006105641146,0.006,0.144,0.045,0.011376707687944156,128,False,,True,False,0.7924717159951528,OTHER
phylop__phylop100_vert,57859,3.966475794604124,3.487561258065223,-15.654,10.003,3.543,0.08830342089091281,11769,False,,False,True,0.10222591034097377,CONS_RAW
phylop__phylop100_vert_r,57859,0.5265201927098636,0.29574965075205384,0.0,0.99689,0.53387,0.08830342089091281,11691,False,,True,False,-0.08549430228226403,CONS_RAW
